city,state,singel_family
Alpine, CA,98.9%
Alpine, NJ,94.1%
Alpine, OR,96.3%
Alpine, UT,95.3%
Alsace Manor, PA,106.5%
Alsea, OR,
Alsey, IL,
Alsip, IL,100.2%
Alta Sierra, CA,96.8%
Alta, CA,
Alta, IA,101.2%
Alta, WY,
Altadena, CA,100.7%
Altamahaw, NC,
Altamont, IL,99.2%
Altamont, KS,
Altamont, NY,99.1%
Altamont, OR,98.4%
Altamont, PA,
Altamonte Springs, FL,99.1%
Altavista, VA,106.0%
Altheimer, AR,
Altmar, NY,
Alto, CA,
Alto, TX,
Alton, IL,100.0%
Alton, NH,97.9%
Alton, TX,99.3%
Altona, CO,
Altona, IL,
Altona, IN,100.0%
Altona, NY,
Altoona Beach, MD,
Altoona, AL,102.3%
Altoona, FL,
Altoona, IA,99.7%
Altoona, PA,99.4%
Altoona, WI,98.6%
Altura, MN,100.0%
Alturas, FL,96.0%
Altus, AR,100.6%
Altus, OK,95.4%
Alum Creek, WV,
Alum Rock, CA,112.3%
Alva, FL,99.3%
Alvarado, TX,99.3%
Alvin, IL,
Alvin, TX,99.1%
Alvord, TX,93.2%
Ama, LA,88.9%
Amado, AZ,
Amagansett, NY,
Amalga, UT,
Amanda, OH,100.0%
Amargosa Valley, NV,100.0%
Amargosa, TX,
Amarillo, TX,95.0%
Amazonia, MO,97.8%
Amber, OK,
Amberg, WI,
Amberley, OH,105.8%
Ambia, IN,
Ambler, PA,94.1%
Amboy, IL,100.0%
Amboy, IN,105.4%
Amboy, NY,87.5%
Amboy, WA,
Ambridge, PA,100.3%
Amelia Court House, VA,100.0%
Amelia, LA,
Amelia, OH,97.8%
Amenia, NY,
American Canyon, CA,100.3%
American Falls, ID,
American Fork, UT,100.2%
Americus, GA,95.9%
Americus, KS,
Ames Lake, WA,
Ames, IA,99.5%
Ames, NY,
Ames, TX,102.6%
Amesbury Town, MA,104.9%
Amesbury, MA,104.9%
Amesti, CA,
Amesville, OH,
Amherst Center, MA,111.9%
Amherst Junction, WI,100.0%
Amherst Town, MA,106.7%
Amherst, NE,
Amherst, NH,101.2%
Amherst, NY,105.6%
Amherst, OH,99.5%
Amherst, VA,99.3%
Amherst, WI,99.1%
Amherstdale, WV,
Amistad, TX,
Amite City, LA,100.9%
Amity Gardens, PA,100.0%
Amity, AR,
Amity, OR,102.3%
Amityville, NY,105.6%
Ammon, ID,
Amo, IN,
Amoret, MO,
Ampere North, NJ,110.0%
Amsterdam, MO,
Amsterdam, MT,
Amsterdam, NY,101.6%
Amsterdam, OH,
Anacoco, LA,
Anacortes, WA,99.4%
Anaheim, CA,102.2%
Anahola, HI,
Anahuac, TX,97.0%
Anamoose, ND,
Anamosa, IA,100.3%
Anatone, WA,
Anchor Bay, CA,88.9%
Anchor, IL,93.1%
Anchorage, AK,100.2%
Anchorage, KY,100.0%
Ancient Oaks, PA,100.8%
Ancram, NY,100.0%
Andale, KS,
Andalusia, IL,100.0%
Anderson Creek, NC,99.7%
Anderson Island, WA,99.3%
Anderson Mill, TX,94.7%
Anderson Township, OH,98.7%
Anderson, AL,
Anderson, CA,99.9%
Anderson, IN,97.9%
Anderson, NJ,93.3%
Anderson, SC,98.5%
Anderson, SD,
Andersonville, GA,
Andersonville, OH,
Andersonville, TN,100.0%
Andover, IA,
